Country,Captive,Wild,Total,%Wild
Afghanistan,1,0,1,0
Albania,6,6,12,50
Algeria,3,13,16,81.25
Andorra,4,3,7,42.85714286
Angola,11,8,19,42.10526316
Argentina,75,64,139,46.04316547
Armenia,13,15,28,53.57142857
Aruba,16,4,20,20
Australia,43,103,146,70.54794521
Austria,30,92,122,75.40983607
Azerbaijan,20,29,49,59.18367347
Bahamas,18,4,22,18.18181818
Bahrain,134,32,166,19.27710843
Bangladesh,72,32,104,30.76923077
Barbados,30,4,34,11.76470588
Belarus,6,6,12,50
Belgium,36,71,107,66.35514019
Belize,2,0,2,0
Benin,0,1,1,100
Bermuda,4,2,6,33.33333333
Bolivia,1,0,1,0
Bosnia and Herzegovina,3,1,4,25
Botswana,0,2,2,100
Brazil,92,95,187,50.80213904
Brunei Darussalam,20,3,23,13.04347826
Bulgaria,14,16,30,53.33333333
Cambodia,10,9,19,47.36842105
Cameroon,1,3,4,75
Canada,204,240,444,54.05405405
Cayman Islands,1,3,4,75
Central African Republic,1,0,1,0
Chile,94,35,129,27.13178295
China,249,401,650,61.69230769
Colombia,11,12,23,52.17391304
Congo,3,3,6,50
Costa Rica,6,33,39,84.61538462
Côte d'Ivoire,4,6,10,60
Croatia,3,0,3,0
Cuba,1,0,1,0
Curaçao,19,3,22,13.63636364
Cyprus,6,17,23,73.91304348
Czech Republic,79,64,143,44.75524476
Democratic Republic of the Congo,9,0,9,0
Denmark,38,134,172,77.90697674
Dominica,1,0,1,0
Dominican Republic,7,17,24,70.83333333
Ecuador,7,2,9,22.22222222
Egypt,34,22,56,39.28571429
El Salvador,4,4,8,50
Equatorial Guinea,2,0,2,0
Eritrea,0,1,1,100
Estonia,1,2,3,66.66666667
Ethiopia,1,5,6,83.33333333
Faroe Islands,2,3,5,60
Fiji,0,2,2,100
Finland,5,8,13,61.53846154
France,216,335,551,60.79854809
French Southern Territories,1,0,1,0
Gabon,0,3,3,100
Georgia,9,12,21,57.14285714
Germany,197,295,492,59.95934959
Ghana,10,2,12,16.66666667
Greece,24,21,45,46.66666667
Greenland,1,4,5,80
Guadeloupe,2,1,3,33.33333333
Guam,6,9,15,60
Guatemala,38,24,62,38.70967742
Guernsey,5,1,6,16.66666667
Guinea,1,0,1,0
Haiti,2,0,2,0
Honduras,5,0,5,0
Hong Kong,279,387,666,58.10810811
Hungary,4,18,22,81.81818182
Iceland,3,10,13,76.92307692
India,35,38,73,52.05479452
Indonesia,92,64,156,41.02564103
Iran,99,46,145,31.72413793
Iraq,12,6,18,33.33333333
Ireland,27,13,40,32.5
Isle of Man,4,0,4,0
Israel,113,56,169,33.13609467
Italy,135,262,397,65.99496222
Jamaica,0,6,6,100
Japan,759,435,1194,36.4321608
Jersey,6,2,8,25
Jordan,29,44,73,60.2739726
Kazakhstan,26,27,53,50.94339623
Kenya,10,2,12,16.66666667
Kuwait,113,90,203,44.33497537
Kyrgyzstan,8,6,14,42.85714286
Laos,3,13,16,81.25
Latvia,7,2,9,22.22222222
Lebanon,83,46,129,35.65891473
Liberia,1,0,1,0
Libya,5,16,21,76.19047619
Liechtenstein,1,2,3,66.66666667
Lithuania,3,13,16,81.25
Luxembourg,4,0,4,0
Macau,25,55,80,68.75
Macedonia,5,2,7,28.57142857
Madagascar,1,11,12,91.66666667
Malawi,1,2,3,66.66666667
Malaysia,155,129,284,45.42253521
Maldives,5,3,8,37.5
Mali,1,1,2,50
Martinique,1,0,1,0
Mauritania,0,2,2,100
Mauritius,5,6,11,54.54545455
Mexico,115,150,265,56.60377358
Monaco,29,32,61,52.45901639
Mongolia,3,2,5,40
Montenegro,5,3,8,37.5
Morocco,28,34,62,54.83870968
Mozambique,7,0,7,0
Myanmar,3,1,4,25
Nambia,9,5,14,35.71428571
Nepal,34,5,39,12.82051282
Netherlands,104,123,227,54.18502203
Netherlands Antilles,7,4,11,36.36363636
New Zealand,80,125,205,60.97560976
Nicaragua,3,2,5,40
Niger,1,2,3,66.66666667
Nigeria,8,11,19,57.89473684
North Korea,14,4,18,22.22222222
Northern Mariana Islands,2,1,3,33.33333333
Norway,150,97,247,39.27125506
Oman,131,46,177,25.98870056
Pakistan,78,34,112,30.35714286
Panama,52,15,67,22.3880597
Paraguay,4,5,9,55.55555556
Peru,19,29,48,60.41666667
Philippines,141,79,220,35.90909091
Poland,42,40,82,48.7804878
Portugal,31,22,53,41.50943396
Puerto Rico,2,4,6,66.66666667
Qatar,217,94,311,30.22508039
Republic of Moldova,6,5,11,45.45454545
Romania,3,18,21,85.71428571
Russia,129,144,273,52.74725275
Saint Barthélemy,6,14,20,70
Saint Kitts and Nevis,0,1,1,100
Saint Lucia,0,2,2,100
San Marino,13,43,56,76.78571429
Saudi Arabia,56,87,143,60.83916084
Senegal,21,5,26,19.23076923
Serbia,12,7,19,36.84210526
Singapore,181,248,429,57.80885781
Sint Maarten,1,0,1,0
Slovakia,12,11,23,47.82608696
Slovenia,0,1,1,100
South Africa,132,69,201,34.32835821
South Korea,306,162,468,34.61538462
Spain,84,126,210,60
Sri Lanka,6,3,9,33.33333333
Sudan,1,0,1,0
Suriname,7,0,7,0
Sweden,35,41,76,53.94736842
Switzerland,211,276,487,56.67351129
Syria,4,0,4,0
Taiwan,290,102,392,26.02040816
Tajikstan,2,1,3,33.33333333
Tanzania,2,0,2,0
Thailand,121,78,199,39.1959799
Togo,0,2,2,100
Tokelau,2,0,2,0
Trinidad and Tobago,6,8,14,57.14285714
Tunisia,18,6,24,25
Turkey,131,178,309,57.60517799
Turkmenistan,5,5,10,50
Uganda,1,6,7,85.71428571
Ukraine,65,63,128,49.21875
United Arab Emirates,220,153,373,41.01876676
United Kingdom of Great Britain and Northern Ireland,166,199,365,54.52054795
United States,833,1427,2260,63.14159292
Unknown,63,71,134,52.98507463
Uruguay,7,1,8,12.5
Uzbekistan,15,15,30,50
Vatican City,0,1,1,100
Venezuela,6,4,10,40
Vietnam,38,53,91,58.24175824
Zambia,1,0,1,0
Zimbabwe,2,0,2,0
