Country,Import,Export
Afghanistan,112,25
Albania,67,12
Algeria,2,9
Andorra,1,5
Angola,10,0
Argentina,1,0
Armenia,7,11
Aruba,1,0
Australia,13,62
Austria,56,4
Azerbaijan,3,0
Bahamas,23,23
Bahrain,141,7
Bangladesh,12,2
Barbados,2,0
Belarus,2,3
Belgium,8,24
Belize,6,7
Benin,4,4
Bermuda,74,11
Bolivia,3,17
Bosnia and Herzegovina,397,97
Botswana,10,12
Brazil,1,0
Brunei Darussalam,681,251
Bulgaria,2,2
Cambodia,1,21
Cameroon,4,3
Canada,3,2
Cayman Islands,402,401
Central African Republic,56,17
Chile,31,3
China,25,0
Colombia,287,89
Congo,145,16
Costa Rica,6,10
Côte d'Ivoire,37,20
Croatia,1,0
Cuba,19,14
Curaçao,3,0
Cyprus,5,0
Czech Republic,1,14
Democratic Republic of Congo,4,0
Denmark,2,199
Dominica,2,24
Dominican Republic,6,5
Ecuador,9,2
Egypt,410,2108
El Salvador,1,13
Equatorial Guinea,2,1
Eritrea,77,44
Estonia,129,22
Ethiopia,4,37
Faroe Islands,13,1
Fiji,388,234
Finland,206,147
France,2,0
French Southern Territories,31,70
Gabon,211,57
Georgia,64,13
Germany,4,12
Ghana,16,8
Greece,16,0
Greenland,73,16
Guadeloupe,2,45
Guam,737,398
Guatemala,40,8
Guernsey,252,47
Guinea,438,487
Haiti,50,76
Honduras,3,0
Hong Kong,8,0
Hungary,9,1
Iceland,159,3086
India,610,1131
Indonesia,1,1
Iran,171,29
Iraq,8,1
Ireland,18,8
Isle of Man,24,8
Israel,19,0
Italy,24,12
Jamaica,11,14
Japan,139,98
Jersey,8,28
Jordan,6,13
Kazakhstan,130,32
Kenya,7,32
Kuwait,4,0
Kyrgyzstan,4,1
Laos,148,241
Latvia,233,667
Lebanon,4,3
Liberia,202,292
Libya,269,139
Liechtenstein,581,470
Lithuania,39,7
Luxembourg,1,0
Macau,148,2
Macedonia,1,3
Madagascar,86,8
Malawi,6,0
Malaysia,3,5
Maldives,3,0
Mali,53,72
Martinique,24,18
Mauritania,313,137
Mauritius,220,27
Mexico,10,8
Monaco,2,0
Mongolia,475,84
Montenegro,11,1
Morocco,1,0
Mozambique,28,13
Myanmar,9,10
Nambia,20,3
Nepal,18,2
Netherlands,104,0
Netherlands Antilles,39,0
New Zealand,1,0
Nicaragua,216,473
Niger,10,0
Nigeria,316,91
North Korea,9,23
Northern Mariana Islands,32,13
Norway,22,4
Oman,155,574
Pakistan,128,82
Panama,187,48
Paraguay,12,72
Peru,532,719
Philippines,14,8
Poland,12,39
Portugal,41,7
Puerto Rico,9,14
Qatar,34,28
Republic of Moldova,223,177
Romania,1272,206
Russia,46,26
Saint Barthélemy,7,13
Saint Kitts and Nevis,91,69
Saint Lucia,2970,1313
San Marino,3,1
Saudi Arabia,12,6
Senegal,22,10
Serbia,16,5
Singapore,51,3
Sint Maarten,9,26
Slovakia,20,1
Slovenia,1,15
South Africa,64,0
South Korea,479,459
Spain,172,111
Sri Lanka,14,55
Sudan,11,0
Suriname,19,10
Sweden,6,77
Switzerland,4,7
Syria,179,89
Taiwan,23,39
Tajikstan,19,3
Tanzania,5,22
Thailand,5,4
Togo,4,10
Tokelau,8,88
Trinidad and Tobago,176,8
Tunisia,2,38
Turkey,115,632
Turkmenistan,21,14
Uganda,80,15
Ukraine,15,0
United Arab Emirates,23,0
United Kingdom of Great Britain and Northern Ireland,1,37
United States,2,12
Unknown,22,7
Uruguay,5,16
Uzbekistan,21,0
Vatican City,141,21
Venezuela,1,0
Vietnam,54,16
Virgin Islands,65,166
Zambia,7,15
Zimbabwe,295,167
