Year,App,Taxon,Class,Order,Family,Genus,Importer,Exporter,Condition,Purpose,Source
2016,II,Chalcopsitta atra,Aves,Psittaciformes,Loriidae,Chalcopsitta,Argentina,Portugal,live,Commercial,Bred in captivity
2016,II,Chalcopsitta atra,Aves,Psittaciformes,Loriidae,Chalcopsitta,Argentina,Portugal,live,Commercial,Bred in captivity
2016,II,Chalcopsitta atra,Aves,Psittaciformes,Loriidae,Chalcopsitta,Bangladesh,Indonesia,live,Commercial,Bred in captivity
2016,II,Chalcopsitta atra,Aves,Psittaciformes,Loriidae,Chalcopsitta,Greece,Philippines,live,Breeding in captivity,Bred in captivity
2016,II,Chalcopsitta atra,Aves,Psittaciformes,Loriidae,Chalcopsitta,Greece,Philippines,live,Zoo,Bred in captivity
2016,II,Chalcopsitta atra,Aves,Psittaciformes,Loriidae,Chalcopsitta,Hong Kong,Syria,live,Commercial,Bred in captivity
2016,II,Chalcopsitta atra,Aves,Psittaciformes,Loriidae,Chalcopsitta,Israel,Netherlands,live,Commercial,Bred in captivity
2016,II,Chalcopsitta atra,Aves,Psittaciformes,Loriidae,Chalcopsitta,Japan,Singapore,live,Commercial,Bred in captivity
2016,II,Chalcopsitta atra,Aves,Psittaciformes,Loriidae,Chalcopsitta,Mozambique,Indonesia,live,Commercial,Bred in captivity
2016,II,Chalcopsitta atra,Aves,Psittaciformes,Loriidae,Chalcopsitta,Nambia,South Africa,live,Breeding in captivity,Bred in captivity
2016,II,Chalcopsitta atra,Aves,Psittaciformes,Loriidae,Chalcopsitta,Oman,Indonesia,live,Commercial,Bred in captivity
2016,II,Chalcopsitta atra,Aves,Psittaciformes,Loriidae,Chalcopsitta,Oman,South Africa,live,Commercial,Bred in captivity
2016,II,Chalcopsitta atra,Aves,Psittaciformes,Loriidae,Chalcopsitta,Pakistan,Indonesia,live,Commercial,Bred in captivity
2016,II,Chalcopsitta atra,Aves,Psittaciformes,Loriidae,Chalcopsitta,Singapore,Mozambique,live,Commercial,Bred in captivity
2016,II,Chalcopsitta atra,Aves,Psittaciformes,Loriidae,Chalcopsitta,Taiwan,Indonesia,live,Commercial,Bred in captivity
